file_name,path,status,n_preview_cols,columns,likely_key_columns,likely_relevant_columns
6020_21.xlsx,C:\Users\LinDengdeng\Desktop\ai project\6020_21.xlsx,ok,18,GVKEY | datadate | fyearq | fqtr | indfmt | consol | popsrc | datafmt | tic | curcdq | datacqtr | datafqtr | atq | cshoq | niq | costat | prccq | sic,GVKEY | datadate | tic,GVKEY | datadate | fyearq | datafmt | tic | datacqtr | datafqtr | atq | niq | costat
ai_full_document_firm_year_audit_test100_v2.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_full_document_firm_year_audit_test100_v2.csv,ok,10,n_filing_rows | n_valid_filing_rows | n_firm_year_rows | n_api_ok | n_api_error | n_missing_firm_year_ai_score | n_10K_only_firm_years | n_all_available_no_10K_firm_years | mean_AI_full_document_index_0_100_v2 | median_AI_full_document_index_0_100_v2,,n_firm_year_rows | n_missing_firm_year_ai_score | n_10K_only_firm_years | n_all_available_no_10K_firm_years
ai_full_document_firm_year_audit_v3_fixed.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_full_document_firm_year_audit_v3_fixed.csv,ok,13,n_filing_rows_original | n_filing_rows_in_year_window | n_api_ok_in_year_window | n_api_error_in_year_window | n_firm_year_rows | n_missing_firm_year_ai_score | n_10K_ok_only_firm_years | n_fallback_all_ok_no_10K_ok_firm_years | n_all_failed_firm_years | mean_AI_full_document_index_0_100_v3 | median_AI_full_document_index_0_100_v3 | year_min | year_max,,n_filing_rows_in_year_window | n_api_ok_in_year_window | n_api_error_in_year_window | n_firm_year_rows | n_missing_firm_year_ai_score | n_10K_ok_only_firm_years | n_fallback_all_ok_no_10K_ok_firm_years | n_all_failed_firm_years | year_min | year_max
ai_full_document_firm_year_audit_v3_fulltext.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_full_document_firm_year_audit_v3_fulltext.csv,ok,10,n_filing_rows | n_valid_filing_rows | n_firm_year_rows | n_api_ok | n_api_error | n_missing_firm_year_ai_score | n_10K_only_firm_years | n_all_available_no_10K_firm_years | mean_AI_full_document_index_0_100_v2 | median_AI_full_document_index_0_100_v2,,n_firm_year_rows | n_missing_firm_year_ai_score | n_10K_only_firm_years | n_all_available_no_10K_firm_years
ai_full_document_firm_year_test100_v2.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_full_document_firm_year_test100_v2.csv,ok,22,cik | fiscal_year | aggregation_rule | n_filings_scored_all | n_filings_used | n_api_ok_all | n_api_ok_used | n_10k_all | n_10q_all | mean_digital_relevance_used | mean_confidence_used | mean_full_document_char_len_used | mean_text_char_len_sent_to_poe_used | n_capped_used | AI_full_investment_type | AI_full_strategic_importance | AI_full_implementation_stage | AI_full_time_horizon | AI_full_digital_relevance | AI_full_confidence | AI_full_document_score_v2 | AI_full_document_index_0_100_v2,cik,cik | fiscal_year | aggregation_rule | AI_full_strategic_importance | AI_full_implementation_stage
ai_full_document_firm_year_v3_fixed.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_full_document_firm_year_v3_fixed.csv,ok,25,cik | fiscal_year | aggregation_rule | n_filings_scored_all | n_filings_used | n_api_ok_all | n_api_error_all | n_10k_all | n_10k_ok | n_10q_all | n_10q_ok | has_10k_any | has_10k_ok | mean_digital_relevance_used | mean_confidence_used | mean_full_document_char_len_used | mean_text_char_len_sent_to_poe_used | AI_full_investment_type | AI_full_strategic_importance | AI_full_implementation_stage | AI_full_time_horizon | AI_full_digital_relevance | AI_full_confidence | AI_full_document_score_v3 | AI_full_document_index_0_100_v3,cik,cik | fiscal_year | aggregation_rule | AI_full_strategic_importance | AI_full_implementation_stage
ai_full_document_firm_year_v3_fulltext.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_full_document_firm_year_v3_fulltext.csv,ok,22,cik | fiscal_year | aggregation_rule | n_filings_scored_all | n_filings_used | n_api_ok_all | n_api_ok_used | n_10k_all | n_10q_all | mean_digital_relevance_used | mean_confidence_used | mean_full_document_char_len_used | mean_text_char_len_sent_to_poe_used | n_capped_used | AI_full_investment_type | AI_full_strategic_importance | AI_full_implementation_stage | AI_full_time_horizon | AI_full_digital_relevance | AI_full_confidence | AI_full_document_score_v2 | AI_full_document_index_0_100_v2,cik,cik | fiscal_year | aggregation_rule | AI_full_strategic_importance | AI_full_implementation_stage
ai_semantic_firm_year_audit_test100_v1_1.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_semantic_firm_year_audit_test100_v1_1.csv,ok,10,n_filing_rows | n_valid_filing_rows | n_firm_year_rows | n_api_ok | n_api_error | n_missing_firm_year_ai_score | n_10K_only_firm_years | n_all_available_no_10K_firm_years | mean_AI_semantic_index_0_100 | median_AI_semantic_index_0_100,,n_firm_year_rows | n_missing_firm_year_ai_score | n_10K_only_firm_years | n_all_available_no_10K_firm_years | mean_AI_semantic_index_0_100 | median_AI_semantic_index_0_100
ai_semantic_firm_year_audit_test100_v1_2.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_semantic_firm_year_audit_test100_v1_2.csv,ok,10,n_filing_rows | n_valid_filing_rows | n_firm_year_rows | n_api_ok | n_api_error | n_missing_firm_year_ai_score | n_10K_only_firm_years | n_all_available_no_10K_firm_years | mean_AI_semantic_index_0_100 | median_AI_semantic_index_0_100,,n_firm_year_rows | n_missing_firm_year_ai_score | n_10K_only_firm_years | n_all_available_no_10K_firm_years | mean_AI_semantic_index_0_100 | median_AI_semantic_index_0_100
ai_semantic_firm_year_audit_test20.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_semantic_firm_year_audit_test20.csv,ok,7,n_filing_rows | n_firm_year_rows | n_api_ok | n_api_error | n_missing_firm_year_ai_score | mean_AI_semantic_index_0_100 | median_AI_semantic_index_0_100,,n_firm_year_rows | n_missing_firm_year_ai_score | mean_AI_semantic_index_0_100 | median_AI_semantic_index_0_100
ai_semantic_firm_year_audit_test20_v1_1.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_semantic_firm_year_audit_test20_v1_1.csv,ok,10,n_filing_rows | n_valid_filing_rows | n_firm_year_rows | n_api_ok | n_api_error | n_missing_firm_year_ai_score | n_10K_only_firm_years | n_all_available_no_10K_firm_years | mean_AI_semantic_index_0_100 | median_AI_semantic_index_0_100,,n_firm_year_rows | n_missing_firm_year_ai_score | n_10K_only_firm_years | n_all_available_no_10K_firm_years | mean_AI_semantic_index_0_100 | median_AI_semantic_index_0_100
ai_semantic_firm_year_audit_test20_v1_2.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_semantic_firm_year_audit_test20_v1_2.csv,ok,10,n_filing_rows | n_valid_filing_rows | n_firm_year_rows | n_api_ok | n_api_error | n_missing_firm_year_ai_score | n_10K_only_firm_years | n_all_available_no_10K_firm_years | mean_AI_semantic_index_0_100 | median_AI_semantic_index_0_100,,n_firm_year_rows | n_missing_firm_year_ai_score | n_10K_only_firm_years | n_all_available_no_10K_firm_years | mean_AI_semantic_index_0_100 | median_AI_semantic_index_0_100
ai_semantic_firm_year_audit_test20_v1_2_fixed.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_semantic_firm_year_audit_test20_v1_2_fixed.csv,ok,10,n_filing_rows | n_valid_filing_rows | n_firm_year_rows | n_api_ok | n_api_error | n_missing_firm_year_ai_score | n_10K_only_firm_years | n_all_available_no_10K_firm_years | mean_AI_semantic_index_0_100 | median_AI_semantic_index_0_100,,n_firm_year_rows | n_missing_firm_year_ai_score | n_10K_only_firm_years | n_all_available_no_10K_firm_years | mean_AI_semantic_index_0_100 | median_AI_semantic_index_0_100
ai_semantic_firm_year_test100_v1_1.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_semantic_firm_year_test100_v1_1.csv,ok,20,cik | fiscal_year | aggregation_rule | n_filings_scored_all | n_filings_used | n_api_ok_all | n_api_ok_used | n_10k_all | n_10q_all | total_evidence_char_len_used | mean_digital_relevance_used | mean_confidence_used | AI_investment_type | AI_strategic_importance | AI_implementation_stage | AI_time_horizon | AI_digital_relevance | AI_confidence | AI_semantic_score | AI_semantic_index_0_100,cik,cik | fiscal_year | aggregation_rule | AI_strategic_importance | AI_implementation_stage | AI_semantic_score | AI_semantic_index_0_100
ai_semantic_firm_year_test100_v1_2.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_semantic_firm_year_test100_v1_2.csv,ok,20,cik | fiscal_year | aggregation_rule | n_filings_scored_all | n_filings_used | n_api_ok_all | n_api_ok_used | n_10k_all | n_10q_all | total_evidence_char_len_used | mean_digital_relevance_used | mean_confidence_used | AI_investment_type | AI_strategic_importance | AI_implementation_stage | AI_time_horizon | AI_digital_relevance | AI_confidence | AI_semantic_score | AI_semantic_index_0_100,cik,cik | fiscal_year | aggregation_rule | AI_strategic_importance | AI_implementation_stage | AI_semantic_score | AI_semantic_index_0_100
ai_semantic_firm_year_test20.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_semantic_firm_year_test20.csv,ok,18,cik | fiscal_year | n_filings_scored | n_api_ok | n_10k | n_10q | total_evidence_char_len | mean_digital_relevance | mean_confidence | sum_final_weight | AI_investment_type | AI_strategic_importance | AI_implementation_stage | AI_time_horizon | AI_digital_relevance | AI_confidence | AI_semantic_score | AI_semantic_index_0_100,cik,cik | fiscal_year | AI_strategic_importance | AI_implementation_stage | AI_semantic_score | AI_semantic_index_0_100
ai_semantic_firm_year_test20_v1_1.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_semantic_firm_year_test20_v1_1.csv,ok,20,cik | fiscal_year | aggregation_rule | n_filings_scored_all | n_filings_used | n_api_ok_all | n_api_ok_used | n_10k_all | n_10q_all | total_evidence_char_len_used | mean_digital_relevance_used | mean_confidence_used | AI_investment_type | AI_strategic_importance | AI_implementation_stage | AI_time_horizon | AI_digital_relevance | AI_confidence | AI_semantic_score | AI_semantic_index_0_100,cik,cik | fiscal_year | aggregation_rule | AI_strategic_importance | AI_implementation_stage | AI_semantic_score | AI_semantic_index_0_100
ai_semantic_firm_year_test20_v1_2.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_semantic_firm_year_test20_v1_2.csv,ok,20,cik | fiscal_year | aggregation_rule | n_filings_scored_all | n_filings_used | n_api_ok_all | n_api_ok_used | n_10k_all | n_10q_all | total_evidence_char_len_used | mean_digital_relevance_used | mean_confidence_used | AI_investment_type | AI_strategic_importance | AI_implementation_stage | AI_time_horizon | AI_digital_relevance | AI_confidence | AI_semantic_score | AI_semantic_index_0_100,cik,cik | fiscal_year | aggregation_rule | AI_strategic_importance | AI_implementation_stage | AI_semantic_score | AI_semantic_index_0_100
ai_semantic_firm_year_test20_v1_2_fixed.csv,C:\Users\LinDengdeng\Desktop\ai project\ai_semantic_firm_year_test20_v1_2_fixed.csv,ok,20,cik | fiscal_year | aggregation_rule | n_filings_scored_all | n_filings_used | n_api_ok_all | n_api_ok_used | n_10k_all | n_10q_all | total_evidence_char_len_used | mean_digital_relevance_used | mean_confidence_used | AI_investment_type | AI_strategic_importance | AI_implementation_stage | AI_time_horizon | AI_digital_relevance | AI_confidence | AI_semantic_score | AI_semantic_index_0_100,cik,cik | fiscal_year | aggregation_rule | AI_strategic_importance | AI_implementation_stage | AI_semantic_score | AI_semantic_index_0_100
