GVKEY,CIK,tic,YEAR,Traditional_index_0_100,AI_full_document_index_0_100_v3,AI_minus_Traditional_index,aggregation_rule,n_filings,n_filings_used,mean_confidence_used
28866,907471,CASH,2023,10.36319612590799,87.5,77.13680387409201,10K_ok_only,3,1.0,95.0
18040,834285,FRBKQ,2020,5.278450363196126,75.0,69.72154963680387,10K_ok_only,4,1.0,85.0
29994,700565,FMBH,2018,6.004842615012106,75.0,68.99515738498789,10K_ok_only,4,1.0,80.0
66288,879635,MPB,2022,6.440677966101695,75.0,68.55932203389831,10K_ok_only,4,1.0,85.0
18533,706129,HBNC,2018,6.585956416464891,75.0,68.4140435835351,10K_ok_only,4,1.0,85.0
14253,311094,WABC,2023,0.6053268765133172,68.75,68.14467312348668,10K_ok_only,4,1.0,85.0
11687,109380,ZION,2020,1.0169491525423728,68.75,67.73305084745763,10K_ok_only,1,1.0,85.0
11856,92230,TFC,2020,1.0169491525423728,68.75,67.73305084745763,10K_ok_only,1,1.0,85.0
27871,1649749,FBK,2020,7.554479418886198,75.0,67.4455205811138,10K_ok_only,4,1.0,90.0
62654,824410,SASR,2020,7.796610169491526,75.0,67.20338983050847,10K_ok_only,4,1.0,85.0
111940,765207,FNLC,2019,7.893462469733656,75.0,67.10653753026634,10K_ok_only,4,1.0,85.0
19428,854560,GSBC,2024,3.389830508474576,68.75,65.36016949152543,10K_ok_only,4,1.0,85.0
35455,1458412,CFB,2020,3.970944309927361,68.75,64.77905569007264,10K_ok_only,4,1.0,85.0
66288,879635,MPB,2023,4.213075060532687,68.75,64.53692493946731,10K_ok_only,4,1.0,85.0
26179,1038773,SMBK,2020,4.309927360774819,68.75,64.44007263922518,10K_ok_only,4,1.0,85.0
18329,314489,BUSE,2019,4.697336561743342,68.75,64.05266343825666,10K_ok_only,1,1.0,85.0
28278,714395,GABC,2019,4.697336561743342,68.75,64.05266343825666,10K_ok_only,2,1.0,85.0
133764,1478454,EBMT,2018,5.520581113801453,68.75,63.22941888619855,10K_ok_only,4,1.0,85.0
111940,765207,FNLC,2018,5.617433414043584,68.75,63.13256658595642,10K_ok_only,4,1.0,85.0
7982,73124,NTRS,2019,12.009685230024212,75.0,62.99031476997579,10K_ok_only,1,1.0,85.0
111940,765207,FNLC,2022,5.85956416464891,68.75,62.89043583535109,10K_ok_only,4,1.0,85.0
4723,36104,USB,2020,6.101694915254238,68.75,62.648305084745765,10K_ok_only,1,1.0,85.0
3238,22356,CBSH,2020,6.731234866828087,68.75,62.01876513317191,10K_ok_only,1,1.0,85.0
136265,1169770,BANC,2024,13.123486682808716,75.0,61.87651331719128,10K_ok_only,4,1.0,85.0
26179,1038773,SMBK,2022,6.924939467312349,68.75,61.82506053268765,10K_ok_only,4,1.0,85.0
26179,1038773,SMBK,2021,7.070217917675545,68.75,61.67978208232446,10K_ok_only,4,1.0,85.0
7982,73124,NTRS,2021,7.409200968523002,68.75,61.340799031477,10K_ok_only,4,1.0,85.0
133764,1478454,EBMT,2019,7.506053268765134,68.75,61.243946731234864,10K_ok_only,4,1.0,85.0
4723,36104,USB,2021,7.602905569007263,68.75,61.14709443099274,10K_ok_only,3,1.0,85.0
110250,811808,SMMF,2020,8.038740920096853,68.75,60.71125907990314,10K_ok_only,4,1.0,85.0
