GVKEY,CIK,tic,YEAR,Traditional_index_0_100,AI_full_document_index_0_100_v3,AI_minus_Traditional_index,aggregation_rule,n_filings,n_filings_used,mean_confidence_used
108664,1087456,UBOH,2021,99.80629539951576,0.0,-99.80629539951576,10K_ok_only,4,1.0,90.0
64193,858800,EMCF,2018,99.61259079903148,0.0,-99.61259079903148,10K_ok_only,4,1.0,90.0
108664,1087456,UBOH,2020,99.56416464891042,0.0,-99.56416464891042,10K_ok_only,4,1.0,90.0
17151,203596,WSBC,2019,99.4188861985472,0.0,-99.4188861985472,10K_ok_only,2,1.0,90.0
66158,1431567,OVLY,2024,99.32203389830508,0.0,-99.32203389830508,10K_ok_only,4,1.0,90.0
108664,1087456,UBOH,2022,99.24939467312348,0.0,-99.24939467312348,10K_ok_only,4,1.0,90.0
62895,887919,PFBI,2021,99.05569007263922,0.0,-99.05569007263922,fallback_all_ok_no_10K_ok,2,2.0,90.0
17151,203596,WSBC,2024,98.59564164648911,0.0,-98.59564164648911,10K_ok_only,4,1.0,90.0
17106,318300,PEBO,2020,98.52300242130752,0.0,-98.52300242130752,10K_ok_only,2,1.0,90.0
29061,1041368,RVSB,2024,98.40193704600485,0.0,-98.40193704600485,10K_ok_only,2,1.0,90.0
28620,946647,PFC,2019,97.72397094430993,0.0,-97.72397094430993,10K_ok_only,4,1.0,90.0
25481,796534,NKSH,2022,97.4818401937046,0.0,-97.4818401937046,10K_ok_only,4,1.0,90.0
180169,1390312,BKJ,2018,97.23970944309929,0.0,-97.23970944309929,10K_ok_only,4,1.0,90.0
16549,1430723,SFBS,2018,96.94915254237289,0.0,-96.94915254237289,10K_ok_only,4,1.0,90.0
66158,1431567,OVLY,2022,96.9007263922518,0.0,-96.9007263922518,10K_ok_only,4,1.0,90.0
64193,858800,EMCF,2019,96.61016949152544,0.0,-96.61016949152544,10K_ok_only,4,1.0,90.0
22086,315709,IBOC,2024,96.41646489104116,0.0,-96.41646489104116,10K_ok_only,4,1.0,90.0
63224,1127371,CWBC,2022,96.3680387409201,0.0,-96.3680387409201,10K_ok_only,4,1.0,90.0
31895,743367,BHB,2022,96.17433414043585,0.0,-96.17433414043585,10K_ok_only,4,1.0,90.0
28620,946647,PFC,2018,95.59322033898306,0.0,-95.59322033898306,10K_ok_only,4,1.0,90.0
63224,1127371,CWBC,2021,95.49636803874093,0.0,-95.49636803874093,10K_ok_only,4,1.0,90.0
22086,315709,IBOC,2023,95.25423728813558,0.0,-95.25423728813558,10K_ok_only,4,1.0,90.0
106404,1083643,FBSS,2019,95.20581113801452,0.0,-95.20581113801452,10K_ok_only,4,1.0,90.0
29061,1041368,RVSB,2022,95.01210653753026,0.0,-95.01210653753026,10K_ok_only,3,1.0,90.0
63224,1127371,CWBC,2023,94.91525423728814,0.0,-94.91525423728814,10K_ok_only,4,1.0,90.0
111537,706863,UNB,2021,94.818401937046,0.0,-94.818401937046,10K_ok_only,4,1.0,90.0
25481,796534,NKSH,2021,94.47941888619854,0.0,-94.47941888619854,10K_ok_only,4,1.0,90.0
17594,1606440,RBNC,2019,93.80145278450364,0.0,-93.80145278450364,10K_ok_only,4,1.0,90.0
63725,1166928,WTBA,2023,93.51089588377724,0.0,-93.51089588377724,10K_ok_only,4,1.0,90.0
108664,1087456,UBOH,2019,93.31719128329296,0.0,-93.31719128329296,10K_ok_only,4,1.0,90.0
