category,keyword,total_count,n_filings_mentioned,mean_count_when_mentioned,median_count_when_mentioned,mean_density_when_mentioned
deployment,mobile banking,4093,2319,1.764984907287624,1.0,0.0304486485244731
deployment,online banking,3075,1792,1.7159598214285714,1.0,0.0290968547396874
deployment,internet banking,2373,1428,1.661764705882353,1.0,0.0273248725050726
deployment,electronic banking,2203,1010,2.1811881188118813,1.0,0.0414231138451701
deployment,remote deposit,1585,1158,1.3687392055267702,1.0,0.0237827993925192
deployment,digital banking,1492,810,1.8419753086419752,1.0,0.0314515604380169
deployment,remote deposit capture,1131,865,1.307514450867052,1.0,0.0221880445002194
deployment,bill pay,752,681,1.1042584434654918,1.0,0.0232889573781015
deployment,digital channels,362,241,1.5020746887966805,1.0,0.0218000710254337
deployment,digital payments,234,61,3.836065573770492,2.0,0.0587558181014514
deployment,online account opening,179,149,1.2013422818791946,1.0,0.0186506436176592
deployment,self-service,159,135,1.1777777777777778,1.0,0.014608103054932
deployment,zelle,140,112,1.25,1.0,0.0226583210411125
deployment,automated underwriting,93,73,1.273972602739726,1.0,0.0198296711616797
deployment,mobile app,82,66,1.2424242424242424,1.0,0.0194281601664853
